series,estimated_min,step,probe_loss,mean_step_s
LOZO full nu50,0.134675,10,0.9181,0.80805
LOZO full nu50,0.269350,20,0.9251,0.80805
LOZO full nu50,0.404025,30,0.976,0.80805
LOZO full nu50,0.538700,40,0.9034,0.80805
LOZO full nu50,0.673375,50,0.946,0.80805
LOZO full nu50,0.808050,60,0.7381,0.80805
LOZO full nu50,0.942725,70,0.9089,0.80805
LOZO full nu50,1.077400,80,0.7924,0.80805
LOZO full nu50,1.212075,90,0.778,0.80805
LOZO full nu50,1.346750,100,0.8423,0.80805
LOZO full nu50,1.481425,110,0.825,0.80805
LOZO full nu50,1.616100,120,0.9143,0.80805
LOZO full nu50,1.750775,130,0.7368,0.80805
LOZO full nu50,1.885450,140,0.9197,0.80805
LOZO full nu50,2.020125,150,0.8109,0.80805
LOZO full nu50,2.154800,160,0.6749,0.80805
LOZO full nu50,2.289475,170,0.8795,0.80805
LOZO full nu50,2.424150,180,0.7965,0.80805
LOZO full nu50,2.558825,190,0.8277,0.80805
LOZO full nu50,2.693500,200,0.9245,0.80805
LOZO full nu50,2.828175,210,0.7346,0.80805
LOZO full nu50,2.962850,220,0.6849,0.80805
LOZO full nu50,3.097525,230,0.842,0.80805
LOZO full nu50,3.232200,240,0.9149,0.80805
LOZO full nu50,3.366875,250,0.7316,0.80805
LOZO full nu50,3.501550,260,0.8792,0.80805
LOZO full nu50,3.636225,270,0.8659,0.80805
LOZO full nu50,3.770900,280,0.7482,0.80805
LOZO full nu50,3.905575,290,0.8342,0.80805
LOZO full nu50,4.040250,300,0.6355,0.80805
LOZO full nu50,4.174925,310,0.7834,0.80805
LOZO full nu50,4.309600,320,0.6725,0.80805
LOZO full nu50,4.444275,330,0.6643,0.80805
LOZO full nu50,4.578950,340,0.7301,0.80805
LOZO full nu50,4.713625,350,0.8418,0.80805
LOZO full nu50,4.848300,360,0.7723,0.80805
LOZO full nu50,4.982975,370,0.7472,0.80805
LOZO full nu50,5.117650,380,0.7403,0.80805
LOZO full nu50,5.252325,390,0.7408,0.80805
LOZO full nu50,5.387000,400,0.6507,0.80805
LOZO full nu50,5.521675,410,0.8208,0.80805
LOZO full nu50,5.656350,420,0.6818,0.80805
LOZO full nu50,5.791025,430,0.6677,0.80805
LOZO full nu50,5.925700,440,0.6641,0.80805
LOZO full nu50,6.060375,450,0.6574,0.80805
LOZO full nu50,6.195050,460,0.8082,0.80805
LOZO full nu50,6.329725,470,0.7374,0.80805
LOZO full nu50,6.464400,480,0.742,0.80805
LOZO full nu50,6.599075,490,0.7999,0.80805
LOZO full nu50,6.733750,500,0.6662,0.80805
LOZO full nu50,6.868425,510,0.6137,0.80805
LOZO full nu50,7.003100,520,0.7429,0.80805
LOZO full nu50,7.137775,530,0.7179,0.80805
LOZO full nu50,7.272450,540,0.6136,0.80805
LOZO full nu50,7.407125,550,0.6793,0.80805
LOZO full nu50,7.541800,560,0.6502,0.80805
LOZO full nu50,7.676475,570,0.5838,0.80805
LOZO full nu50,7.811150,580,0.6287,0.80805
LOZO full nu50,7.945825,590,0.5585,0.80805
LOZO full nu50,8.080500,600,0.6581,0.80805
LOZO full nu50,8.215175,610,0.6455,0.80805
