series,step,probe_loss
LOZO full nu50,10,0.9181
LOZO full nu50,20,0.9251
LOZO full nu50,30,0.976
LOZO full nu50,40,0.9034
LOZO full nu50,50,0.946
LOZO full nu50,60,0.7381
LOZO full nu50,70,0.9089
LOZO full nu50,80,0.7924
LOZO full nu50,90,0.778
LOZO full nu50,100,0.8423
LOZO full nu50,110,0.825
LOZO full nu50,120,0.9143
LOZO full nu50,130,0.7368
LOZO full nu50,140,0.9197
LOZO full nu50,150,0.8109
LOZO full nu50,160,0.6749
LOZO full nu50,170,0.8795
LOZO full nu50,180,0.7965
LOZO full nu50,190,0.8277
LOZO full nu50,200,0.9245
LOZO full nu50,210,0.7346
LOZO full nu50,220,0.6849
LOZO full nu50,230,0.842
LOZO full nu50,240,0.9149
LOZO full nu50,250,0.7316
LOZO full nu50,260,0.8792
LOZO full nu50,270,0.8659
LOZO full nu50,280,0.7482
LOZO full nu50,290,0.8342
LOZO full nu50,300,0.6355
LOZO full nu50,310,0.7834
LOZO full nu50,320,0.6725
LOZO full nu50,330,0.6643
LOZO full nu50,340,0.7301
LOZO full nu50,350,0.8418
LOZO full nu50,360,0.7723
LOZO full nu50,370,0.7472
LOZO full nu50,380,0.7403
LOZO full nu50,390,0.7408
LOZO full nu50,400,0.6507
LOZO full nu50,410,0.8208
LOZO full nu50,420,0.6818
LOZO full nu50,430,0.6677
LOZO full nu50,440,0.6641
LOZO full nu50,450,0.6574
LOZO full nu50,460,0.8082
LOZO full nu50,470,0.7374
LOZO full nu50,480,0.742
LOZO full nu50,490,0.7999
LOZO full nu50,500,0.6662
LOZO full nu50,510,0.6137
LOZO full nu50,520,0.7429
LOZO full nu50,530,0.7179
LOZO full nu50,540,0.6136
LOZO full nu50,550,0.6793
LOZO full nu50,560,0.6502
LOZO full nu50,570,0.5838
LOZO full nu50,580,0.6287
LOZO full nu50,590,0.5585
LOZO full nu50,600,0.6581
LOZO full nu50,610,0.6455
LOZO full nu50,620,0.6582
LOZO full nu50,630,0.7132
LOZO full nu50,640,0.6014
LOZO full nu50,650,0.5975
LOZO full nu50,660,0.7898
LOZO full nu50,670,0.7085
LOZO full nu50,680,0.6173
LOZO full nu50,690,0.5694
LOZO full nu50,700,0.7082
LOZO full nu50,710,0.612
LOZO full nu50,720,0.5468
LOZO full nu50,730,0.6468
LOZO full nu50,740,0.6062
LOZO full nu50,750,0.7709
LOZO full nu50,760,0.6172
LOZO full nu50,770,0.5791
LOZO full nu50,780,0.629
LOZO full nu50,790,0.6782
LOZO full nu50,800,0.6053
